Area,Match %,Matching Keywords,Missing Keywords
<<<<<<< HEAD
Job Description,63.36,"software, systems, development, support, solutions","engineers, iii, teams, sde, understanding"
Key Responsibilities,84.59,"technical, technologies, software, code, development","security, deployment, collaborate, documentation, including"
Required Qualifications,76.49,"systems, experience, bachelor, software, skills","master, sql, strong, testing, ability"
Preferred Qualifications,79.34,"experience, development, technologies, systems, react","work, vuejs, source, understanding, tech"
=======
Job Description,61.87,"software, systems, development, solutions, technical","engineers, iii, teams, support, sde"
Key Responsibilities,83.92,"technical, technologies, software, code, development","deployment, collaborate, documentation, including, testing"
Required Qualifications,76.46,"systems, experience, bachelor, software, skills","master, sql, testing, ability, complex"
Preferred Qualifications,77.97,"experience, development, technologies, systems, react","work, vuejs, source, understanding, tech"
>>>>>>> 597ccf41dd54ec10daf12d0a71636f27cedcd518
